Среднемесячная номинальная начисленная заработная плата на одного работника по полному кругу организаций (рубль, Всего (по всем формам собственности), значение показателя за год);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;;;;;;;;;;
;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;;;;;;;;;;;
        Мурманская область;7 222,6;8 645,5;10 176,6;12 509,6;15 162;18 581;23 762,8;26 591,7;29 307,8;32 341,6;36 187,9;40 225,1;43 378,2;45 989,4;;;;;;;;;;;
        Новгородская область;3 443;4 393,4;5 502,8;6 940,8;8 907,5;11 004,9;13 685,2;14 794,5;16 750,8;18 636,5;21 297,4;23 493,8;25 225,3;26 346,4;;;;;;;;;;;
        Псковская область;2 919,5;3 762;4 542,6;5 734,5;6 973;8 950,5;11 380,8;12 631,4;14 498,2;15 721,2;18 202,9;19 742,7;21 004,4;21 553,3;;;;;;;;;;;
        г.Санкт-Петербург;5 434,7;6 467,5;7 931,1;10 133,9;13 033,2;17 552;22 473,4;23 884,4;27 189,5;29 522;32 930,2;36 848;40 696,6;44 187;;;;;;;;;;;
    Южный федеральный  округ (с 2010 года);;;;;;;;14 065,7;15 560,1;17 236,9;19 822,7;22 496,6;24 311,3;25 470,7;;;;;;;;;;;
    Северо-Кавказский федеральный округ;;;;;;;;11 431,9;12 569,2;13 898,4;16 725;19 358,7;20 930,1;21 719,8;;;;;;;;;;;
        Республика Дагестан;1 834,3;2 409,2;3 000,1;3 659,8;4 530;5 696,4;7 595,1;9 125,3;10 243,5;11 235,8;13 659,6;16 834,7;18 194;19 238,9;;;;;;;;;;;
        Республика Ингушетия;2 729,2;3 576;4 002,8;5 448,9;6 432;7 285,4;8 913,8;10 957,6;12 855,3;14 513,2;18 301,5;20 150,9;20 992,7;21 480,6;;;;;;;;;;;
        Кабардино-Балкарская Республика;2 269,4;2 877,1;3 515,6;4 653,3;5 851,4;7 213,9;9 033,9;10 777,4;11 663,2;13 011,5;16 314,4;18 623,6;20 322,7;20 866,1;;;;;;;;;;;
        Карачаево-Черкесская Республика;2 425,7;3 080,9;3 696,2;4 710,1;5 870,9;7 558,4;9 383,6;10 477,1;11 345,6;12 446,9;15 510,8;17 857,8;19 745,9;20 511,4;;;;;;;;;;;
        Республика Северная Осетия - Алания;2 446,9;2 792,6;3 457,2;4 722,3;5 918,4;7 625,8;9 150,9;10 831,5;11 817,6;13 376;15 896,7;18 664;20 310,6;21 266,6;;;;;;;;;;;
        Чеченская Республика;;3 807,8;;0;;9 916,7;11 762,8;13 254,9;13 918,7;14 431,4;17 384,9;20 864,8;21 452,3;22 304,2;;;;;;;;;;;
        Ставропольский край;2 837,4;3 512,2;4 497,4;5 416,3;6 732,9;8 647,7;11 109,5;12 647,2;13 949;15 588,7;18 446,9;20 666,9;22 597,1;23 245;;;;;;;;;;;
    Приволжский федеральный округ;3 412,1;4 235,3;5 149,9;6 473,3;8 118;10 347,4;13 209,9;13 987,4;15 613,6;17 543,6;20 020,4;22 481,3;24 601,3;25 632,1;;;;;;;;;;;
        Республика Башкортостан;3 717,9;4 449,4;5 389,4;6 612;8 632,3;11 027,1;14 084,1;14 951;16 377,7;18 397;20 264,7;22 377,4;24 987,6;25 927,5;;;;;;;;;;;
        Республика Марий Эл;2 401,5;3 105,8;3 783,7;4 938,2;6 343,5;8 404,3;10 534,6;11 374,4;12 650,6;14 001,2;16 023;18 359,7;20 473,4;21 946,8;;;;;;;;;;;
        Республика Мордовия;2 444,1;3 251,6;4 013,6;5 060,7;6 358,4;8 103;10 530,5;10 937,2;11 883,1;13 305,1;15 186,6;18 100,7;20 342,1;22 028,5;;;;;;;;;;;
        Республика Татарстан;3 735,6;4 530;5 452,8;7 067,8;8 849,9;11 468,6;14 904;15 206,9;17 350,1;20 009,4;23 233,7;26 034,5;28 293,6;29 147,1;;;;;;;;;;;
        Удмуртская Республика;3 444,6;4 349,9;5 130,5;6 373,3;7 798,4;9 838,6;12 153,8;13 099,1;14 291,1;15 843,3;18 240,7;21 053,4;23 421;24 694,1;;;;;;;;;;;
        Чувашская Республика;2 461,3;3 215;4 048,2;5 073,1;6 436,7;8 703,2;11 146,6;11 529;13 004,4;14 896,3;17 187,4;19 387,5;20 854,4;21 369,4;;;;;;;;;;;
        Пермский край;4 286,6;5 283,5;6 211,8;7 748,9;9 516,2;11 856;14 774,1;15 227,6;17 438,3;18 773,3;21 820,9;24 715,5;27 102,3;28 527,9;;;;;;;;;;;
        Кировская область;2 928,6;3 640,9;4 540,6;5 695,8;6 960,3;8 861,5;10 971;12 053,9;13 292,6;14 579;16 932,3;19 291,1;20 978,2;22 118,3;;;;;;;;;;;
        Нижегородская область;3 404,1;4 205,9;5 255,7;6 533,4;8 111,7;10 302;13 467,7;14 746,5;16 327,6;18 492,4;20 958,8;23 572,9;25 497,1;26 480,7;;;;;;;;;;;
        Оренбургская область;3 141,8;3 898,1;4 734,8;6 163,5;7 685,1;9 619,6;12 087,2;13 520,2;15 199,6;17 024,9;19 270,8;21 592,8;23 469,4;24 591;;;;;;;;;;;
        Пензенская область;2 501,1;3 474,4;3 911,1;5 206,8;6 344;8 566,4;11 723,1;13 034,8;14 423,6;16 362,2;19 126,2;20 644,8;22 392,2;23 191,9;;;;;;;;;;;
        Самарская область;4 228;5 138,9;6 275,9;7 764,9;9 614,2;11 920,7;14 674,9;14 915,9;16 479,4;18 600,3;20 799,9;23 469,5;25 883,6;26 849,2;;;;;;;;;;;
        Саратовская область;2 706,6;3 456,2;4 301,4;5 439,3;7 009,7;9 108,3;12 008,3;13 110,1;14 554;16 204,7;18 803,3;20 668;22 012,1;22 528,2;;;;;;;;;;;
        Ульяновская область;2 867,1;3 621,4;4 372,3;5 343,8;6 708;8 412,7;10 895;11 731,4;13 339;15 008,6;17 107,4;19 186,9;21 272,4;22 846,1;;;;;;;;;;;
    Уральский федеральный округ;6 588,6;8 085,7;9 692,5;11 679,5;14 306,9;17 837,6;21 826;22 269;25 034,5;28 055,3;31 598,4;34 735,4;37 269,9;39 082,9;;;;;;;;;;;
        Курганская область;2 892,3;3 664,6;4 538,4;5 691,5;7 295,6;8 883,1;11 318,8;11 942;13 227,9;14 833,1;17 180,3;19 408,5;21 171,7;22 064,3;;;;;;;;;;;
        Свердловская область;4 473,1;5 607;6 928,4;8 675,9;10 772,3;13 986,9;17 526,7;17 336,3;19 756,7;22 179,2;25 138,8;27 608,2;29 492,2;30 690,8;;;;;;;;;;;
        Тюменская область;12 083,3;14 584,1;16 956,5;19 838,4;23 728,7;28 565;33 876,5;34 773;38 212,7;42 289;47 177,3;51 008,6;54 497,8;56 615,7;;;;;;;;;;;
            Ханты-Мансийский автономный округ-Югра;14 634,3;17 209,3;19 660;22 828,5;26 826,3;32 227,9;37 412;38 386,6;41 314,6;45 498,1;50 841,3;54 507,8;57 976,2;60 067,5;;;;;;;;;;;
            Ямало-Ненецкий автономный округ;15 876,2;20 027,2;23 890,2;27 534,1;32 336,4;37 363,5;44 168,7;46 480,5;52 618,8;59 095,3;63 696,3;69 191,7;74 488,8;77 271,7;;;;;;;;;;;
            Тюменская область (без автономных округов);;;;;;;;;;;28 577,7;31 619,5;34 124,9;35 868,7;;;;;;;;;;;
        Челябинская область;3 847,2;4 838,5;5 959,6;7 462,7;9 356,5;11 897,5;14 829,2;15 021,2;17 370,2;20 015;22 500,5;25 650,5;27 682,5;29 642,2;;;;;;;;;;;
